ID,Latitude,Longtitude,Province,District,Commune,Sub-regional,Plot,Lot,Site,Forest owner,Land type,Original resources of forest,Date,Priority,Contractor,Status
1,11.5169,108.272668,Lam Dong,Di Linh,Tam Bo,678,3,26,Tam Bo,Trần Ngọc Thế,Medium coniferous natural forest,Natural forest,1/1/2018 0:00,High,,Verified
2,11.4464,108.062816,Lam Dong,Di Linh,Gung Re,695,5,1,Gung Re village,Forestry One Member Limited Liability Company Di Linh,Medium coniferous natural forest,Natural forest,1/1/2018 0:00,High,K' BRim (Gaoh),Verified
3,11.4462,108.062886,Lam Dong,Di Linh,Gung Re,695,5,3,Gung Re village,Forestry One Member Limited Liability Company Di Linh,Natural wood forest in the mountains with medium broad leaves and medium coniferous leaves,Natural forest,1/1/2018 0:00,High,K' BRim (Gaoh),Verified
4,11.801,107.937944,Lam Dong,Di Linh,Dinh Trang Thuong,607,3,8,Dinh Trang Thuong,Board of protection forest management Tan Thuong,Empty land with regenerated wood trees,Natural forest,1/13/2018 0:00,Low,,Not Verified
5,11.4814,108.010331,Lam Dong,Di Linh,Lien Dam,660B,7,43,Lien Dam,Group Joint Stock Company Tan Mai,Other plantation forest,Plantation forest,1/13/2018 0:00,Low,,Not Verified
6,11.4464,108.062847,Lam Dong,Di Linh,Gung Re,695,5,1,Gung Re village,Forestry One Member Limited Liability Company Di Linh,Medium coniferous natural forest,Natural forest,1/13/2018 0:00,High,K' BRim (Gaoh),Not Verified
7,11.3271,108.091448,Lam Dong,Di Linh,Gia Bac,736,6,7,Gia Bac village,Forestry One Member Limited Liability Company Di Linh,Mixed natural bamboo forest,Natural forest,1/13/2018 0:00,High,K' Lít,Not Verified
8,11.4203,108.057927,Lam Dong,Di Linh,Gung Re,709A,2,8,Gung Re village,Forestry One Member Limited Liability Company Di Linh,Poor evergreen broad-leaved natural forest,Natural forest,1/25/2018 0:00,Low,K' BRªu (M«),Not Verified
9,11.2926,108.055201,Lam Dong,Di Linh,Gia Bac,735,4,8,Gia Bac,Community of  Da Hong village,Mixed natural bamboo forest,Natural forest,1/25/2018 0:00,Medium,,Not Verified
10,11.5014,108.160709,Lam Dong,Di Linh,Bao Thuan,674,6,4,Bao Thuan,Forestry One Member Limited Liability Company Bao Thuan,Poor coniferous natural forest,Natural forest,2/18/2018 0:00,Medium,K' Brim,Not Verified
11,11.3595,108.023765,Lam Dong,Di Linh,Son Dien,716,2,27,Ka Lieng village,Commune People's Committee,Mixed natural bamboo forest,Natural forest,2/18/2018 0:00,Low,,Not Verified
